saga_titulo,Ruta Colonial de Santo Domingo
saga_descripcion,"Recorre los monumentos más emblemáticos de la Zona Colonial, la primera ciudad europea del Nuevo Mundo"
saga_pais,República Dominicana
saga_ciudad,Santo Domingo
saga_dificultad,medium
saga_duracion_min,90
,,,,,,,,,,,,
numero,titulo,descripcion,senal_principal,respuesta,senales_radar,spawn_lat,spawn_lng,target_lat,target_lng,radio_proximidad,xp,tiempo_limite_seg
1,La Fortaleza Olvidada,El explorador inicia su misión en la ribera del Ozama,"Construida en 1510 por orden del virrey Diego Colón, esta fortaleza-palacio vigilaba la desembocadura del río Ozama. Hoy es Patrimonio de la Humanidad y alberga un museo con muebles de época.",Alcázar de Colón|alcazar de colon|Alcazar de Colon,Está frente al río Ozama|Fue la residencia del hijo de Cristóbal Colón|Es un palacio con arcos de estilo gótico,18.4730,-69.8830,18.4719,-69.8823,200,100,0
2,Calles de Piedra,Las calles más antiguas del continente,"La primera calle pavimentada del Nuevo Mundo fue trazada en 1502. Reyes y virreyes caminaron sobre estas piedras. ¿Cuál es su nombre?",Calle Las Damas|calle las damas|Las Damas,Está en la Zona Colonial|Su nombre honra a las damas de la corte|Es la calle más antigua de América,18.4740,-69.8840,18.4735,-69.8833,150,100,0
3,El Faro del Almirante,Un monumento monumental espera al explorador,"Un monumento en forma de cruz proyecta un haz de luz visible desde toda la ciudad. En su interior reposan los supuestos restos del descubridor de América.",Faro a Colón|faro a colon|Faro de Colón|faro de colon,Tiene forma de cruz|Se inauguró en 1992|Proyecta una luz que se ve desde lejos,18.4890,-69.8680,18.4882,-69.8672,300,100,0
4,La Primera Catedral,Fe en piedra desde 1521,"La primera catedral construida en suelo americano mezcla estilos gótico y renacentista. Su fachada de coral mira hacia el Parque Colón.",Catedral Primada de América|catedral primada|Catedral de Santo Domingo,Está frente al Parque Colón|Fue construida entre 1512 y 1540|Es la catedral más antigua del continente,18.4730,-69.8850,18.4722,-69.8841,150,150,0
5,El Parque del Descubridor,Donde una estatua señala al horizonte,"En el corazón de la Zona Colonial hay un parque con una estatua de bronce. El personaje señala hacia el horizonte con una mano y sostiene a una mujer indígena con la otra.",Parque Colón|parque colon,Está frente a la catedral|La estatua es de Cristóbal Colón|Es el parque central de la Zona Colonial,18.4715,-69.8850,18.4722,-69.8845,100,100,0
6,Murallas del Tiempo,Defensas que resistieron piratas,"Esta puerta en las antiguas murallas era la entrada principal a la ciudad amurallada. Los barcos mercantes pasaban por ella al llegar del río.",Puerta de la Misericordia|puerta de la misericordia|La Misericordia,Es una puerta en las murallas coloniales|Su nombre se relaciona con la compasión|Aquí se dio el primer grito de independencia en 1844,18.4695,-69.8910,18.4688,-69.8902,200,150,0
7,El Monasterio Perdido,Piedras que guardan siglos de oración,"Ruinas de uno de los primeros monasterios franciscanos del Nuevo Mundo. Solo quedan sus muros de piedra y coral, testigos de siglos de historia.",Ruinas de San Francisco|ruinas de san francisco|Monasterio de San Francisco,Es un monasterio en ruinas|Fue construido por franciscanos|Está en la parte alta de la Zona Colonial,18.4710,-69.8800,18.4702,-69.8795,200,100,0
8,La Cuna de la Enseñanza,Donde nació el conocimiento en América,"Fundada en 1538 por bula papal, esta institución fue la primera de su tipo en todo el continente americano. Su nombre honra a un santo de la iglesia.",Universidad de Santo Tomás de Aquino|santo tomas de aquino|Universidad Santo Tomás,Fue fundada en 1538|Es la primera universidad de América|Su nombre honra a un teólogo dominico,18.4725,-69.8815,18.4718,-69.8808,200,150,300
9,El Alcázar de la Fe,Donde la inquisición dejó su marca,"Este edificio colonial sirvió como sede del poder religioso en el Nuevo Mundo. Sus gruesos muros de piedra han visto desde ceremonias hasta juicios de fe.",Convento de los Dominicos|convento de los dominicos|Iglesia de los Dominicos,Fue sede de una orden religiosa|Está en la Zona Colonial|La orden que lo fundó lleva el nombre de la isla,18.4735,-69.8820,18.4728,-69.8812,150,100,0
10,El Hospital del Nuevo Mundo,Donde se curó por primera vez en América,"Construido por orden de Nicolás de Ovando en 1503, este edificio fue el primer hospital del continente. Hoy sus ruinas son un monumento histórico.",Hospital San Nicolás de Bari|san nicolas de bari|Hospital de San Nicolás,Fue construido en 1503|Es el primer hospital de América|Lleva el nombre de un santo,18.4700,-69.8825,18.4695,-69.8818,200,150,0
11,Escalera al Cielo Colonial,Subiendo entre historia y balcones,"Esta calle peatonal empinada conecta la parte baja con la alta de la Zona Colonial. A los lados hay casas con balcones de madera y tiendas de artesanía.",Calle El Conde|el conde|Calle del Conde,Es una calle peatonal|Es la calle comercial más famosa de la Zona Colonial|Su nombre es un título nobiliario,18.4710,-69.8870,18.4705,-69.8860,100,100,0
12,El Guardián del Ozama,La última misión te lleva al río,"Esta fortaleza militar del siglo XVI es la más antigua de América. Desde su torre se vigilaba la entrada del río Ozama contra piratas y corsarios.",Fortaleza Ozama|fortaleza ozama|Torre del Homenaje,Es una fortaleza militar|Está junto al río Ozama|Tiene una torre llamada Torre del Homenaje,18.4735,-69.8795,18.4728,-69.8788,250,200,0
